Nome;UF;Latitude;Longitude;Formato da Área de Pouso;Superfície
Península;Distrito Federal;"15°49'49,5""S";"047°52'00,0""O";Quadrado;Grama
Residência Oficial de Águas Claras II;Distrito Federal;"15°49'39,0""S";"048°01'23,0""O";Quadrado;Concreto
Figaro;Distrito Federal;"15°46'25,0""S";"047°49'01,2""O";Quadrado;Concreto
Parqway;Distrito Federal;"15°54'39,0""S";"047°58'23,0""O";Quadrado;Concreto
Residência Oficial de Águas Claras I;Distrito Federal;"15°49'45,0""S";"048°01'44,0""O";Quadrado;Concreto
Base Resgate;Distrito Federal;"15°46'30,0""S";"047°54'22,0""O";Retangular;Asfalto
Parque Cidade;Distrito Federal;"15°47'44,0""S";"047°53'37,0""O";Quadrado;Concreto
Home;Distrito Federal;"15°50'07,0""S";"047°54'36""O";Quadrado;Concreto
Toca PCDF;Distrito Federal;"15°46'47,0""S";"047°54'47,0""O";Retangular;Concreto
Condomínio Brasil 21;Distrito Federal;"15°47'34,0""S";"047°53'38,0""O";Quadrado;Concreto
SENAI/SESI/CNI;Distrito Federal;"15°47'26,0""S";"047°52'46,0""O";Quadrado;Concreto
CADF;Distrito Federal;"15°50'10,3""S";"048°05'02,3""O";Quadrado;Concreto
