Última atualização: 11/09/2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Operação;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link
SIMM;SP0529;EDIFÍCIO CORPORATE PARK;SÃO PAULO;São Paulo;"046°40'20,0""O";"23°35'14,8""S";VFR Diurna/Noturna;8;Quadrado;22m x 22m;t;Concreto;19/08/2021;PA2018-3970;https://pergamum.anac.gov.br/arquivos/PA2018-3970.pdf
SIHG;GO0157;Gois;VALPARAÍSO DE GOIÁS;Goiás;"047°59'56,0""O";"16°03'49,0""S";VFR Diurna/Noturna;11;Quadrado;16m x 16m;t;Asfalto;28/02/2024;PA2014-0486;https://pergamum.anac.gov.br/arquivos/PA2014-0486.pdf
SIKL;GO0158;Flamboyant;GOIÂNIA;Goiás;"049°14'19,0""O";"16°42'35,0""S";VFR Diurna/Noturna;12;Quadrado;20m x 20m;t;Concreto;25/01/2023;PA2013-0232;https://pergamum.anac.gov.br/arquivos/PA2013-0232.pdf
SNYI;GO0168;Josidith II;LEOPOLDO DE BULHÕES;Goiás;"048°47'23,4""O";"16°36'54,5""S";VFR Diurna/Noturna;9;Quadrado;20m x 20m;t;Concreto;21/09/2027;PA2017-3037;https://pergamum.anac.gov.br/arquivos/PA2017-3037.pdf
SSYT;GO0173;Business Style;GOIÂNIA;Goiás;"049°15'24,0""O";"16°41'46,0""S";VFR Diurna/Noturna;1 28;Quadrado;21m x 21m;t;Concreto;16/09/2023;PA2013-2402;https://pergamum.anac.gov.br/arquivos/PA2013-2402.pdf
SWJG;GO0177;CGO;PILAR DE GOIÁS;Goiás;"049°34'34,0""O";"14°46'38,0""S";VFR Diurna;7 22;Quadrado;20m x 20m;t;Concreto;19/12/2023;PA2013-3324;https://pergamum.anac.gov.br/arquivos/PA2013-3324.pdf
SWMM;GO0179;Mabra I;NAZÁRIO;Goiás;"049°52'59,0""O";"16°37'03,0""S";VFR Diurna/Noturna;2;Quadrado;19,5m x 19,5m;t;Grama;11/04/2026;PA2016-0869;https://pergamum.anac.gov.br/arquivos/PA2016-0869.pdf
SWUO;GO0180;Arroz Cristal;APARECIDA DE GOIÂNIA;Goiás;"049°12'49,0""O";"16°49'18,0""S";VFR Diurna;4;Quadrado;18m x 18m;t;Concreto;;;
SDFL;MA0055;Lagoa Corporate;SÃO LUÍS;Maranhão;"044°18'28,0""O";"02°30'00,0""S";VFR Diurna/Noturna;7;Quadrado;18m x 18m;t;Concreto;29/07/2025;PA2015-1993;https://pergamum.anac.gov.br/arquivos/PA2015-1993.pdf
SIZZ;SP0585;Zezé;JUNDIAÍ;São Paulo;"047°00'11,8""O";"23°07'41,7""S";VFR Diurna/Noturna;17;Quadrado;19m x 19m;t;Grama;23/03/2027;PA2018-3923;https://pergamum.anac.gov.br/arquivos/PA2018-3923.pdf
SIYY;BA0200;Briogold C1;SANTALUZ;Bahia;"039°17'40,6""O";"11°00'07,9""S";VFR Diurna;34;Quadrado;20m x 20m;t;Concreto;05/05/2025;PA2018-3608;https://pergamum.anac.gov.br/arquivos/PA2018-3608.pdf
SSDA;SP0746;Água Mansa;SÃO SEBASTIÃO;São Paulo;"045°24'15,3""O";"23°44'28,7""S";VFR Diurna/Noturna;26;Quadrado;20,45m x 20,45m;t;Concreto;16/01/2027;PA2017-0151;https://pergamum.anac.gov.br/arquivos/PA2017-0151.pdf
